Текст сообщения(С учетом словоформ?),Фильтр ЧПН,id фильтра который дергаем из базы
кубинская,кубинская,
вьетнамская,вьетнамская,
китайская,китайская,
испанская,испанская,
английская,английская,
кавказская,кавказская,
латиноамериканская,латиноамериканская,
греческая,греческая,
кошерная,кошерная,
мясная,мясная,
ливанская,ливанская,
автралийская,автралийская,
итальянская,итальянская,
грузинская,грузинская,
паназиатская,паназиатская,
французская,французская,
австрийская,австрийская,
арабская,арабская,
индийская,индийская,
домашняя,домашняя,
русская,русская,
авторская,авторская,
украинская,украинская,
бельгийская,бельгийская,
еврейская,еврейская,
вегетарианская,вегетарианская,
бразильская,бразильская,
тайская,тайская,
интернациональная,интернациональная,
здоровая,здоровая,
фьюжн,фьюжн,
аргентинская,аргентинская,
средиземноморская,средиземноморская,
европейская,европейская,
сербская,сербская,
восточная,восточная,
мексиканская,мексиканская,
рыбная,рыбная,
гастрономическая,гастрономическая,
азербайджанская,азербайджанская,
сингапурская,сингапурская,
чешская,чешская,
японская,японская,
армянская,армянская,
татарская,татарская,
турецкая,турецкая,
американская,американская,
узбекская,узбекская,
немецкая,немецкая,
корейская,корейская,
азиатская,азиатская,